DataSource;R2;RMSE;MAE;Variables
Ob;0.9495301047729593;183.54260488342155;29.615286047488667;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.9120352658091736;208.20989283316896;30.409943210627723;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.9391988205956934;205.3522977456396;32.553324061599085;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.8971429671462678;245.4669142517352;32.736629145117135;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.9376500019283578;208.20963235380998;31.816129195821922;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.8470643678057439;381.6198499421035;36.47956596694047;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.9379561195755612;219.70461062671913;33.45199052544656;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.913066946792893;225.05192056218982;30.399520477494313;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.9168728056132578;236.06178365717807;35.202644617323664;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
Ob;0.9085467353055501;266.69419679959117;31.7275790632651;{'Ethnicity': True, 'Ageband': True, 'Gender': True, 'Country': True, 'Region': True, 'Policeforcename': True, 'Court_Type': True, 'Offencetype': True}
